lat,lng,name,pemaju_nama,hargaMin,hargaMax,permit_year,status_keseluruhan
3.089565,101.684722,SENTRAL KUCHAI,ALTIMAS SDN BHD,"534,880.00","1,184,880.00",2027,Lancar
3.180033,101.662787,SOLASTA DUTAMAS,KAR SIN BHD.,"542,100.00","1,029,500.00",2026,Lewat
3.059014,101.658382,SUNWAY FLORA 2,SUNWAY FLORA  SDN. BHD.,"723,600.00","1,300,800.00",2028,Lancar
3.0582,101.6577,SUNWAY FLORA RESIDENCES,SUNWAY FLORA  SDN. BHD.,"1,080,000.00","2,671,000.00",2026,Lancar
3.129543,101.72749,SUNWAY VELOCITY 3,SUNWAY VELOCITY THREE  SDN. BHD.,"761,000.00","1,279,000.00",2027,Lancar
3.129475,101.675086,TAMAN BUKIT BANGSAR,BANGSAR HILL PARK DEVELOPMENT SDN. BHD.,"914,000.00","1,807,000.00",2026,Lancar
3.159867,101.729515,THE ASHWOOD,PARAMOUNT PROPERTY (CITYVIEW)  SDN. BHD.,"1,823,333.00","4,786,222.00",2027,Lancar
3.18322,101.67554,THE ERA @ DUTA NORTH,JKG CENTRAL PARK SDN. BHD.,"490,900.00","2,640,900.00",2026,Siap Dengan CCC
3.181766,101.666497,THE FIDDLEWOODZ @ KL METROPOLIS,IVORY INTERPOINT SDN. BHD.,"1,025,760.00","1,756,440.00",2026,Lancar
3.058789,101.672587,THE KINGSWOODZ @ BUKIT JALIL,EXSIM JALIL LINK   SDN. BHD.,"485,875.00","881,820.00",2027,Lancar
